minute,x,y,orientation,speed
1.0,36.03,-7.22,-64.11039162006479,2.533333333333333
1.0006666666666666,36.06,-7.31,-64.58434147588706,2.6027777777777774
1.0013333333333334,36.11,-7.41,-65.19328635859284,2.6694444444444443
1.002,36.15,-7.52,-65.53432859040919,2.7416666666666663
1.0026666666666666,36.2,-7.61,-65.87759531430474,2.808333333333333
1.0033333333333334,36.23,-7.72,-66.22885223920133,2.8694444444444445
1.004,36.27,-7.82,-66.4194059532635,2.9277777777777776
1.0046666666666666,36.32,-7.94,-66.84513680742683,2.9805555555555556
1.0053333333333334,36.36,-8.05,-66.99460119801773,3.0305555555555554
1.006,36.41,-8.16,-67.2836332070804,3.0694444444444446
1.0066666666666666,36.45,-8.28,-67.46787119184339,3.0944444444444446
1.0073333333333332,36.5,-8.4,-67.59020231738296,3.1222222222222222
1.008,36.54,-8.51,-67.59265012360501,3.1444444444444444
1.0086666666666668,36.59,-8.63,-67.89694054813287,3.1666666666666665
1.0093333333333334,36.63,-8.75,-67.84581744280791,3.1861111111111113
1.01,36.67,-8.87,-67.92894162955133,3.2027777777777775
1.0106666666666666,36.72,-8.98,-68.08707902643518,3.222222222222222
1.0113333333333334,36.76,-9.11,-68.0153310438352,3.247222222222222
1.012,36.82,-9.23,-68.05083618003604,3.2666666666666666
1.0126666666666666,36.86,-9.35,-67.9482699341519,3.2944444444444443
1.0133333333333332,36.91,-9.48,-67.88652727117638,3.3222222222222224
1.014,36.96,-9.6,-67.62075152383444,3.3555555555555556
1.0146666666666666,37.02,-9.72,-67.6059239624435,3.3916666666666666
1.0153333333333334,37.06,-9.85,-67.38084903081347,3.433333333333333
1.016,37.12,-9.98,-67.38466911573035,3.480555555555555
1.0166666666666666,37.17,-10.1,-67.14779422015397,3.530555555555556
1.0173333333333334,37.23,-10.23,-67.14308449129278,3.5805555555555557
1.018,37.28,-10.37,-66.96385012345024,3.6333333333333333
1.0186666666666666,37.34,-10.51,-66.94818737337894,3.6777777777777776
1.0193333333333332,37.4,-10.64,-66.59687573012317,3.727777777777778
1.02,37.46,-10.78,-66.4762810406211,3.775
1.0206666666666666,37.52,-10.92,-66.34339860166611,3.8166666666666664
1.0213333333333334,37.58,-11.06,-66.17334083327191,3.8499999999999996
1.022,37.64,-11.2,-66.07217001068227,3.888888888888889
1.0226666666666666,37.71,-11.34,-65.93928730087404,3.9194444444444443
1.0233333333333332,37.77,-11.48,-65.7244495854715,3.9388888888888887
1.024,37.83,-11.63,-65.596746301554,3.9555555555555557
1.0246666666666666,37.9,-11.77,-65.42057257245816,3.9666666666666663
1.0253333333333334,37.96,-11.92,-65.15702815107723,3.977777777777778
1.026,38.03,-12.06,-65.00894736223131,3.9805555555555556
1.0266666666666666,38.1,-12.21,-64.87189777934582,3.9833333333333334
1.0273333333333334,38.16,-12.36,-64.62403755237901,3.9833333333333334
1.028,38.23,-12.5,-64.44102187922562,3.9805555555555556
1.0286666666666666,38.29,-12.65,-64.32262143465918,3.9805555555555556
1.0293333333333332,38.36,-12.79,-64.02310721178647,3.9833333333333334
1.03,38.44,-12.93,-63.802272426552285,3.9833333333333334
1.0306666666666666,38.51,-13.07,-63.69911148729155,3.9861111111111107
1.0313333333333334,38.57,-13.21,-63.385373648472815,3.9916666666666663
1.032,38.65,-13.36,-63.22579432929526,3.9944444444444445
1.0326666666666666,38.73,-13.5,-62.94964876499554,4.0055555555555555
1.0333333333333334,38.79,-13.64,-62.74179239507833,4.013888888888888
1.034,38.87,-13.78,-62.52840363288441,4.025
1.0346666666666666,38.95,-13.92,-62.28878974019146,4.0361111111111105
1.0353333333333332,39.03,-14.06,-62.14506180479701,4.052777777777778
1.036,39.11,-14.21,-61.79448761523546,4.072222222222222
