eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
GoalKick_Play_Pass,1907.071,DFL-CLU-00000B,DFL-OBJ-0026NY,,2023-05-27 16:02:55.721000+02:00,31.0,47.0,"{'DecisionTimestamp': '2023-05-27T16:02:27.187+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-J013O2', 'FromOpenPlay': 'false', 'PlayAngle': '9.60', 'Player': 'DFL-OBJ-0026NY', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '450', 'Distance': 'long', 'FreeKickLayup': 'false', 'Direction': 'throughBall'}",firstHalf,Away
TacklingGame,1910.423,DFL-CLU-00000B,DFL-OBJ-J013O2,0.0,2023-05-27 16:02:59.073000+02:00,31.0,50.0,"{'Winner': 'DFL-OBJ-J013O2', 'Type': 'air', 'PossessionChange': 'false', 'WinnerTeam': 'DFL-CLU-00000B', 'LoserTeam': 'DFL-CLU-00000S', 'WinnerResult': 'layoff', 'Loser': 'DFL-OBJ-J014F7', 'GoalKeeperInvolved': 'false', 'LoserRole': 'withoutBallControl', 'WinnerRole': 'withBallControl'}",firstHalf,Away
Play_Pass,1912.531,DFL-CLU-00000B,DFL-OBJ-J013O2,,2023-05-27 16:03:01.181000+02:00,31.0,52.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-002GBK', 'FromOpenPlay': 'true', 'PlayAngle': '45.80', 'Player': 'DFL-OBJ-J013O2', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '453', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
OtherBallAction,1912.992,DFL-CLU-00000B,DFL-OBJ-002GBK,,2023-05-27 16:03:01.642000+02:00,31.0,52.0,"{'Player': 'DFL-OBJ-002GBK', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '454'}",firstHalf,Away
TacklingGame,1914.801,DFL-CLU-00000B,DFL-OBJ-002GBK,1.0,2023-05-27 16:03:03.451000+02:00,31.0,54.0,"{'Winner': 'DFL-OBJ-002GM0', 'DribbleEvaluation': 'unsuccessful', 'DribblingType': 'atTheFoot', 'Type': 'ground', 'PossessionChange': 'true', 'WinnerTeam': 'DFL-CLU-00000S', 'LoserTeam': 'DFL-CLU-00000B', 'WinnerResult': 'ballClaimed', 'Loser': 'DFL-OBJ-002GBK', 'DribblingSide': 'left', 'GoalKeeperInvolved': 'false', 'LoserRole': 'withBallControl', 'WinnerRole': 'withoutBallControl'}",firstHalf,Away
Foul,1921.561,DFL-CLU-00000B,DFL-OBJ-0001UP,,2023-05-27 16:03:10.211000+02:00,32.0,1.0,"{'TeamFouler': 'DFL-CLU-00000B', 'FoulType': 'foul', 'Fouler': 'DFL-OBJ-0001UP', 'Fouled': 'DFL-OBJ-0000YV', 'TeamFouled': 'DFL-CLU-00000S'}",firstHalf,Away
Play_Pass,1954.052,DFL-CLU-00000B,DFL-OBJ-002GOI,,2023-05-27 16:03:42.702000+02:00,32.0,34.0,"{'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-002GBK', 'FromOpenPlay': 'true', 'PlayAngle': '27.69', 'Player': 'DFL-OBJ-002GOI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '464', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,1957.181,DFL-CLU-00000B,DFL-OBJ-002GBK,,2023-05-27 16:03:45.831000+02:00,32.0,37.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-J016C3', 'FromOpenPlay': 'true', 'PlayAngle': '274.53', 'Player': 'DFL-OBJ-002GBK', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '465', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
TacklingGame,1960.427,DFL-CLU-00000B,DFL-OBJ-002G02,1.0,2023-05-27 16:03:49.077000+02:00,32.0,40.0,"{'Winner': 'DFL-OBJ-J016C3', 'Type': 'ground', 'PossessionChange': 'true', 'WinnerTeam': 'DFL-CLU-00000S', 'LoserTeam': 'DFL-CLU-00000B', 'WinnerResult': 'ballcontactSucceeded', 'Loser': 'DFL-OBJ-002G02', 'GoalKeeperInvolved': 'false', 'LoserRole': 'withBallControl', 'WinnerRole': 'withoutBallControl'}",firstHalf,Away
Delete,1968.331,,,,2023-05-27 16:03:56.981000+02:00,32.0,48.0,{},firstHalf,Away
