minute,orientation_deg,velocity_m_s
1.0,-64.11039162006479,2.5618266690992177
1.0006666666666666,-64.58434147588706,2.6076865598381715
1.0013333333333334,-65.19328635859284,2.6495004346080675
1.002,-65.53432859040919,2.697419347626135
1.0026666666666666,-65.87759531430474,2.7340570504660744
1.0033333333333334,-66.22885223920133,2.7825720833567003
1.004,-66.4194059532635,2.8235983804804614
1.0046666666666666,-66.84513680742683,2.873020689178299
1.0053333333333334,-66.99460119801773,2.9117919379398245
1.006,-67.2836332070804,2.9548714461412264
1.0066666666666666,-67.46787119184339,2.9976552694221397
1.0073333333333332,-67.59020231738296,3.043073874204478
1.008,-67.59265012360501,3.0825593335094927
1.0086666666666668,-67.89694054813287,3.1238110776478765
1.0093333333333334,-67.84581744280791,3.1637519504004277
1.01,-67.92894162955133,3.203786273324148
1.0106666666666666,-68.08707902643518,3.241723736825612
1.0113333333333334,-68.0153310438352,3.2814934454056326
1.012,-68.05083618003604,3.315126973706297
1.0126666666666666,-67.9482699341519,3.3492216424287395
1.0133333333333332,-67.88652727117638,3.385272128098101
1.014,-67.62075152383444,3.417417387442862
1.0146666666666666,-67.6059239624435,3.451111332806803
1.0153333333333334,-67.38084903081347,3.4852022516582326
1.016,-67.38466911573035,3.514167989807156
1.0166666666666666,-67.14779422015397,3.5489789285065685
1.0173333333333334,-67.14308449129278,3.5785675926535574
1.018,-66.96385012345024,3.6052071228136855
1.0186666666666666,-66.94818737337894,3.6373937685906346
1.0193333333333332,-66.59687573012317,3.665088181985057
1.02,-66.4762810406211,3.693855647602179
1.0206666666666666,-66.34339860166611,3.7211278499855043
1.0213333333333334,-66.17334083327191,3.7438006410205933
1.022,-66.07217001068227,3.7717480443095135
1.0226666666666666,-65.93928730087404,3.7952878599525155
1.0233333333333332,-65.7244495854715,3.8224836363496526
1.024,-65.596746301554,3.846570695563741
1.0246666666666666,-65.42057257245816,3.870923684581255
1.0253333333333334,-65.15702815107723,3.890313995443374
1.026,-65.00894736223131,3.9097415660043535
1.0266666666666666,-64.87189777934582,3.9280114512680684
1.0273333333333334,-64.62403755237901,3.951551913287206
1.028,-64.44102187922562,3.9633727861244634
1.0286666666666666,-64.32262143465918,3.980218763674679
1.0293333333333332,-64.02310721178647,3.9988782245548236
1.03,-63.802272426552285,4.010807246794298
1.0306666666666666,-63.69911148729155,4.025905594222812
1.0313333333333334,-63.385373648472815,4.0392835016790665
1.032,-63.22579432929526,4.053133800551038
1.0326666666666666,-62.94964876499554,4.066511039315135
1.0333333333333334,-62.74179239507833,4.076767168231809
1.034,-62.52840363288441,4.087551133776841
1.0346666666666666,-62.28878974019146,4.099343640434508
1.0353333333333332,-62.14506180479701,4.11203625751917
1.036,-61.79448761523546,4.116896371533443
1.0366666666666666,-61.7225229185454,4.125936066206317
1.0373333333333334,-61.516032255247225,4.133127063010379
1.038,-61.28110599548505,4.152272957345349
1.0386666666666666,-61.156909868916095,4.158245876388584
1.0393333333333332,-60.92392097920347,4.166373115311171
1.04,-60.81328206545405,4.178528928238301
1.0406666666666666,-60.61908490070512,4.187600187441903
1.0413333333333332,-60.47120907433636,4.19059715796491
1.042,-60.29148969749928,4.197211147233415
1.0426666666666666,-60.18255952052963,4.201416473761921
1.0433333333333334,-60.08575408611168,4.204438394960638
1.044,-59.934289725920614,4.207087335624189
1.0446666666666666,-59.82608004347508,4.212568307905257
1.0453333333333332,-59.63539220700544,4.21456796410182
1.046,-59.57264190447387,4.212562244829844
1.0466666666666666,-59.50951435043692,4.217370988770498
1.0473333333333334,-59.35685793190512,4.215988549126072
1.048,-59.217498569446875,4.2083136807313215
1.0486666666666666,-59.2346361206259,4.208761033302267
1.0493333333333335,-59.11956955205292,4.207630671537937
1.05,-59.043368621373695,4.200550686466705
1.0506666666666666,-58.921420623013,4.202240083606437
1.0513333333333332,-58.90745234425159,4.199948854728066
1.052,-58.87829439760115,4.2015794140648
1.0526666666666666,-58.80344461488337,4.195769080557715
1.0533333333333335,-58.714112260820265,4.194437711848666
1.054,-58.68343112570578,4.190779805457314
1.0546666666666666,-58.68810327414215,4.189716670298069
1.0553333333333332,-58.67244435790149,4.184790271615398
1.056,-58.63985142912785,4.184110719303253
1.0566666666666666,-58.614405399714585,4.182911909549116
1.0573333333333332,-58.64300432561917,4.179522382337833
1.058,-58.60895000259536,4.17402383914141
1.0586666666666666,-58.583543093008714,4.176632142914202
1.0593333333333335,-58.600365344366146,4.173088450802253
1.06,-58.64376842475701,4.172469102848992
1.0606666666666666,-58.71561590346269,4.166938503914674
1.0613333333333332,-58.75214158288973,4.162389494861696
1.062,-58.79420260252918,4.157826989368468
1.0626666666666666,-58.8512844714398,4.1523922976956635
1.0633333333333332,-58.81430037531652,4.14999422434182
1.064,-58.87787382483699,4.14334902563668
1.0646666666666667,-58.9256155204556,4.133068549227131
1.0653333333333335,-58.98471729605895,4.130534749659011
1.066,-58.971518214470926,4.126255037884213
1.0666666666666667,-59.085421587084504,4.113024611603399
1.0673333333333335,-59.087315705895875,4.107748635499792
1.068,-59.11359739996713,4.097044930248009
1.0686666666666667,-59.120904510206884,4.091121390894759
1.0693333333333332,-59.10815853338754,4.089673885645371
1.07,-59.18073278681637,4.08093350510892
1.0706666666666667,-59.16453124467721,4.075379427570577
1.0713333333333332,-59.19456376892522,4.067447466992972
1.0719999999999998,-59.27507955309265,4.057599629909341
1.0726666666666667,-59.31257459651094,4.049741086908115
1.0733333333333335,-59.49544986270781,4.044410945567701
1.074,-59.60336108959241,4.037387150628009
1.0746666666666667,-59.592015660921284,4.030783120331068
1.0753333333333333,-59.635791189304825,4.030375561182386
1.076,-59.746754235719536,4.022441254249736
1.0766666666666667,-59.679264311506444,4.016377694020739
1.0773333333333333,-59.89812747305443,4.01213922791014
1.078,-59.91263512810927,4.006565431818167
1.0786666666666667,-59.87341743775866,4.0023328256377075
1.0793333333333335,-59.93869071381662,3.994236070880765
1.0799999999999998,-60.03448843148801,3.988998961289471
1.0806666666666667,-60.12947070279891,3.9834313298522224
1.0813333333333333,-60.23520165816067,3.9807646173755766
1.082,-60.40263554020573,3.974914667494836
1.0826666666666667,-60.4692055086195,3.9677437944683116
1.0833333333333333,-60.57272656356742,3.963178784589526
1.084,-60.669659237816184,3.9528934708213264
1.0846666666666667,-60.758405340727165,3.9558217908591127
1.0853333333333335,-60.87505256251239,3.94248380435783
1.0859999999999999,-61.086097328841035,3.9325544466554545
1.0866666666666667,-61.25273665861686,3.928740123265166
1.0873333333333333,-61.391404029209035,3.9240684373703263
1.088,-61.56984243639376,3.9191953344137263
1.0886666666666664,-61.6072913902493,3.9110711401193297
1.0893333333333333,-61.65100117083157,3.90579443612404
1.09,-61.689149836569555,3.8944350779886827
1.0906666666666667,-61.74638222284733,3.8852154869553277
1.0913333333333335,-61.82144725206875,3.873568167996345
1.0919999999999999,-61.80945505293267,3.8644525756582127
1.0926666666666667,-61.84029702187673,3.856669748887422
1.0933333333333333,-61.819485444194115,3.849577176647807
1.094,-61.91930331657402,3.838136206386094
1.0946666666666667,-61.85030647081569,3.8355810944701805
1.0953333333333333,-61.76698762663101,3.8264127833671986
1.096,-61.704332049640755,3.818808476549736
1.0966666666666667,-61.591255049512355,3.8016972956391917
1.0973333333333335,-61.54926452307234,3.7920525103342437
1.0979999999999999,-61.39019462533004,3.783575459162975
1.0986666666666667,-61.372087326570075,3.7724462742528897
1.0993333333333333,-61.17064384767171,3.7598186569602885
1.1,-60.93631698850003,3.74712596773356
1.1006666666666667,-60.86440642380878,3.73343687829739
1.1013333333333333,-60.614849748539534,3.7216178671944955
1.102,-60.35983056132444,3.7143421993719534
1.1026666666666667,-60.1603133352117,3.7045537709420024
1.1033333333333333,-59.891278901021046,3.6978062221205334
1.1039999999999999,-59.5486293297625,3.6904991458702816
1.1046666666666667,-59.22526761910411,3.6735535506413934
1.1053333333333333,-57.76712205617679,3.6831087821490605
1.106,-56.554676661880926,3.6849421100511464
1.1066666666666667,-55.37435168322516,3.681140452256411
1.1073333333333333,-54.16114303830759,3.681444163233791
1.108,-53.042648559296445,3.6758091613471224
1.1086666666666667,-52.09558138618067,3.672049364590795
1.1093333333333333,-51.20673524363277,3.6624145430603328
1.1099999999999999,-50.27925637895819,3.6506268417500705
1.1106666666666667,-49.3755069965779,3.637205757029804
1.1113333333333335,-48.725528300373306,3.6233007542113076
1.1119999999999999,-48.085317871611714,3.601945430324459
1.1126666666666667,-47.39086403578553,3.58618675485525
1.1133333333333333,-46.73325591379219,3.5652248250175664
1.114,-46.31829997905739,3.540520182103645
1.1146666666666667,-45.890700152372006,3.5215656750995787
1.1153333333333333,-45.324675040609165,3.495293708667747
1.1159999999999999,-44.94022079171075,3.4682049147133007
1.1166666666666667,-44.69953433397976,3.44391787274175
1.1173333333333335,-44.52738389372856,3.4093233609756965
1.1179999999999999,-44.2943472908593,3.378341217682219
1.1186666666666667,-44.07247403572248,3.346642036057296
1.1193333333333333,-44.03397037942072,3.3172357438249165
1.12,-44.08942159562213,3.2813213546676026
1.1206666666666665,-44.05772389959962,3.2461613109854346
1.1213333333333333,-44.155985231149764,3.2252095593824293
1.1219999999999999,-44.317447414383146,3.204998087112972
1.1226666666666667,-45.645769022525954,3.182748761183281
1.1233333333333335,-45.77183353633291,3.152167403784295
1.1239999999999999,-45.919319407235335,3.1244389675254403
1.1246666666666667,-46.10744696626996,3.091261852020267
1.1253333333333333,-47.59786344431294,3.05669494029453
1.1260000000000001,-47.72279084738584,3.019570351054991
