eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
ShotAtGoal_SavedShot,2696.186,DFL-CLU-00000S,DFL-OBJ-0000YV,0.0,2023-05-27 16:16:04.836000+02:00,44.0,56.0,"{'CounterAttack': 'false', 'AfterFreeKick': 'false', 'AssistTypeShotAtGoal': 'others', 'Pressure': '0.32', 'TakerBallControl': 'controlShot', 'DistanceToGoal': '24.21', 'Team': 'DFL-CLU-00000S', 'TakerSetup': 'otherPassFromOpenPlay', 'ShotCondition': 'notComplicated', 'AmountOfDefenders': '1', 'GoalDistanceGoalkeeper': '2.55', 'ShotOrigin': '8', 'SignificanceEvaluation': 'average', 'AngleToGoal': '16.49', 'InsideBox': 'false', 'BuildUp': 'passOpenPlay', 'AssistShotAtGoal': 'DFL-OBJ-0027LO', 'Player': 'DFL-OBJ-0000YV', 'TypeOfShot': 'leftLeg', 'PlayerSpeed': '11.61', 'SetupOrigin': 'insideRight', 'ChanceEvaluation': 'chance', 'BallPossessionPhase': '659', 'AssistAction': 'otherPassFromOpenPlay', 'xG': '0.0379', 'SaveType': 'arms', 'SaveResult': 'held', 'GoalKeeper': 'DFL-OBJ-0026NY', 'SaveEvaluation': 'average'}",firstHalf,Home
Play_Cross,2755.781,DFL-CLU-00000S,DFL-OBJ-J016C3,,2023-05-27 16:17:04.431000+02:00,45.0,55.0,"{'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-0026NY', 'FromOpenPlay': 'true', 'PlayAngle': '267.40', 'Player': 'DFL-OBJ-J016C3', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'true', 'SemiField': 'false', 'Team': 'DFL-CLU-00000S', 'BallPossessionPhase': '675', 'Rotation': 'other', 'Distance': 'long', 'Side': 'right', 'GoalKeeperInterference': 'caught', 'GoalKeeper': 'DFL-OBJ-0026NY'}",firstHalf,Home
FinalWhistle,2768.87,,,,2023-05-27 16:17:17.520000+02:00,46.0,8.0,"{'BreakingOff': 'false', 'GameSection': 'firstHalf', 'FinalResult': '2:0'}",firstHalf,Home
Foul,6.765,DFL-CLU-00000B,DFL-OBJ-J01KDN,,2023-05-27 15:31:15.415000+02:00,0.0,6.0,"{'TeamFouler': 'DFL-CLU-00000B', 'FoulType': 'foul', 'Fouler': 'DFL-OBJ-J01KDN', 'Fouled': 'DFL-OBJ-0000YV', 'TeamFouled': 'DFL-CLU-00000S'}",firstHalf,Away
Delete,41.064,,,,2023-05-27 15:31:49.714000+02:00,0.0,41.0,{},firstHalf,Away
Delete,51.517,,,,2023-05-27 15:32:00.167000+02:00,0.0,51.0,{},firstHalf,Away
ShotAtGoal_BlockedShot,52.374,DFL-CLU-00000B,DFL-OBJ-J013O2,0.0,2023-05-27 15:32:01.024000+02:00,0.0,52.0,"{'CounterAttack': 'false', 'AfterFreeKick': 'false', 'AssistTypeShotAtGoal': 'direct', 'Pressure': '1.35', 'TakerBallControl': 'dribblingLess10m', 'DistanceToGoal': '16.15', 'Team': 'DFL-CLU-00000B', 'TakerSetup': 'otherPassFromOpenPlay', 'ShotCondition': 'notComplicated', 'AmountOfDefenders': '2', 'GoalDistanceGoalkeeper': '2.87', 'ShotOrigin': '3', 'SignificanceEvaluation': 'average', 'AngleToGoal': '23.49', 'InsideBox': 'true', 'BuildUp': 'passOpenPlay', 'AssistShotAtGoal': 'DFL-OBJ-0002LI', 'Player': 'DFL-OBJ-J013O2', 'TypeOfShot': 'rightLeg', 'PlayerSpeed': '9.00', 'SetupOrigin': 'insideLeft', 'ChanceEvaluation': 'chance', 'BallPossessionPhase': '20', 'AssistAction': 'otherPassFromOpenPlay', 'xG': '0.0354', 'GoalPrevented': 'false'}",firstHalf,Away
ShotAtGoal_BlockedShot,57.383,DFL-CLU-00000B,DFL-OBJ-002G02,0.0,2023-05-27 15:32:06.033000+02:00,0.0,57.0,"{'CounterAttack': 'false', 'AfterFreeKick': 'false', 'AssistTypeShotAtGoal': 'indirect', 'Pressure': '0.88', 'TakerBallControl': 'controlShot', 'DistanceToGoal': '14.45', 'Team': 'DFL-CLU-00000B', 'TakerSetup': 'oppositionDefensiveAction', 'ShotCondition': 'notComplicated', 'AmountOfDefenders': '2', 'GoalDistanceGoalkeeper': '1.38', 'ShotOrigin': '4', 'SignificanceEvaluation': 'average', 'AngleToGoal': '20.94', 'InsideBox': 'true', 'BuildUp': 'passOpenPlay', 'AssistShotAtGoal': 'DFL-OBJ-J013O2', 'Player': 'DFL-OBJ-002G02', 'TypeOfShot': 'rightLeg', 'PlayerSpeed': '4.49', 'SetupOrigin': 'insideLeft', 'ChanceEvaluation': 'chance', 'BallPossessionPhase': '23', 'AssistAction': 'shot', 'xG': '0.0426', 'GoalPrevented': 'false'}",firstHalf,Away
CornerKick_Play_Cross,104.344,DFL-CLU-00000B,DFL-OBJ-0002LI,,2023-05-27 15:32:52.994000+02:00,1.0,44.0,"{'Side': 'right', 'DecisionTimestamp': '2023-05-27T15:32:10.802+02:00', 'PostMarking': 'none', 'Placing': 'farPost', 'Team': 'DFL-CLU-00000B', 'Rotation': 'awayFromGoal', 'TargetArea': 'farPost', 'PlayOrigin': 'oppositionHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-J013O2', 'FromOpenPlay': 'false', 'PlayAngle': '254.82', 'Player': 'DFL-OBJ-0002LI', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'true', 'SemiField': 'false', 'BallPossessionPhase': '25', 'Distance': 'long'}",firstHalf,Away
ShotAtGoal_BlockedShot,110.052,DFL-CLU-00000B,DFL-OBJ-J013O2,0.0,2023-05-27 15:32:58.702000+02:00,1.0,50.0,"{'CounterAttack': 'false', 'AfterFreeKick': 'false', 'AssistTypeShotAtGoal': 'direct', 'Pressure': '1.00', 'TakerBallControl': 'volley', 'DistanceToGoal': '11.28', 'Team': 'DFL-CLU-00000B', 'TakerSetup': 'cornerKick', 'ExtendedTypeOfShot': 'frontalVolley', 'ShotCondition': 'notComplicated', 'AmountOfDefenders': '3', 'GoalDistanceGoalkeeper': '0.11', 'ShotOrigin': '3', 'SignificanceEvaluation': 'average', 'AngleToGoal': '32.05', 'InsideBox': 'true', 'BuildUp': 'cornerKick', 'AssistShotAtGoal': 'DFL-OBJ-0002LI', 'Player': 'DFL-OBJ-J013O2', 'TypeOfShot': 'rightLeg', 'PlayerSpeed': '4.11', 'SetupOrigin': 'right', 'ChanceEvaluation': 'chance', 'BallPossessionPhase': '27', 'AssistAction': 'cornerKick', 'xG': '0.0785', 'GoalPrevented': 'false'}",firstHalf,Away
Delete,116.257,,,,2023-05-27 15:33:04.907000+02:00,1.0,56.0,{},firstHalf,Away
